fdc_id,source,version,url,description,display_name,preparation,aliases,kcal,protein_g,fat_g,carbs_g,energy_nutrient_id
174525,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174525/nutrients,"Sauce, homemade, white, medium","Sauce, homemade, white, medium",,,147,3.84,10.63,9.17,1008
174526,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174526/nutrients,"Sauce, homemade, white, thick","Sauce, homemade, white, thick",,,186,3.99,13.83,11.61,1008
171833,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171833/nutrients,"Sauce, horseradish","Sauce, horseradish",,,503,1.09,50.89,10.05,1008
171186,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171186/nutrients,"Sauce, hot chile, sriracha","Sauce, hot chile, sriracha",,,93,1.93,0.93,19.16,1008
171187,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171187/nutrients,"Sauce, hot chile, sriracha, CHA! BY TEXAS PETE","Sauce, hot chile, sriracha, CHA! BY TEXAS PETE",,,108,2.02,0.98,22.73,1008
171188,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171188/nutrients,"Sauce, hot chile, sriracha, TUONG OT SRIRACHA","Sauce, hot chile, sriracha, TUONG OT SRIRACHA",,,79,1.86,0.9,15.87,1008
174529,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174529/nutrients,"Sauce, oyster, ready-to-serve","Sauce, oyster, ready-to-serve",,,51,1.35,0.25,10.92,1008
171192,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171192/nutrients,"Sauce, pasta, spaghetti/marinara, ready-to-serve","Sauce, pasta, spaghetti/marinara, ready-to-serve",,,50,1.39,1.61,7.43,1008
171597,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171597/nutrients,"Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium","Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium",,,51,1.41,1.48,8.06,1008
171575,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171575/nutrients,"Sauce, peanut, made from coconut, water, sugar, peanuts","Sauce, peanut, made from coconut, water, sugar, peanuts",,,179,2.02,6.34,28.46,1008
